project	bug_id	method
math	1	org.apache.commons.math3.fraction.Fraction#?#Fraction#?,double,double,int,int
math	1	org.apache.commons.math3.fraction.BigFraction#?#BigFraction#?,double,double,int,int
math	2	org.apache.commons.math3.distribution.HypergeometricDistribution#double#getNumericalMean#?
math	3	org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]
math	4	org.apache.commons.math3.geometry.euclidean.twod.SubLine#Vector2D#intersection#?,SubLine,boolean
math	4	org.apache.commons.math3.geometry.euclidean.threed.SubLine#Vector3D#intersection#?,SubLine,boolean
math	5	org.apache.commons.math3.complex.Complex#Complex#reciprocal#?
math	7	org.apache.commons.math3.ode.AbstractIntegrator#double#acceptStep#?,AbstractStepInterpolator,double[],double[],double
math	8	org.apache.commons.math3.distribution.DiscreteDistribution#T[]#sample#?,int
math	9	org.apache.commons.math3.geometry.euclidean.threed.Line#Line#revert#?
math	10	org.apache.commons.math3.analysis.differentiation.DSCompiler#void#atan2#?,double[],int,double[],int,double[],int
math	11	org.apache.commons.math3.distribution.MultivariateNormalDistribution#double#density#?,double[]
math	13	org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer#RealMatrix#squareRoot#?,RealMatrix
math	14	org.apache.commons.math3.optim.nonlinear.vector.Weight#?#Weight#?,double[]
math	15	org.apache.commons.math3.util.FastMath#double#pow#?,double,double
math	16	org.apache.commons.math3.util.FastMath#double#cosh#?,double
math	17	org.apache.commons.math3.dfp.Dfp#Dfp#multiply#?,int
math	18	org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction#double[]#encode#?,double[]
math	18	org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction#double[]#decode#?,double[]
math	19	org.apache.commons.math3.optimization.direct.CMAESOptimizer#void#checkParameters#?
math	20	org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction#double[]#repairAndDecode#?,double[]
math	21	org.apache.commons.math3.linear.RectangularCholeskyDecomposition#?#RectangularCholeskyDecomposition#?,RealMatrix,double
math	22	org.apache.commons.math3.distribution.FDistribution#boolean#isSupportLowerBoundInclusive#?
math	22	org.apache.commons.math3.distribution.UniformRealDistribution#boolean#isSupportUpperBoundInclusive#?
math	25	org.apache.commons.math3.optimization.fitting.HarmonicFitter$ParameterGuesser#void#guessAOmega#?
math	26	org.apache.commons.math3.fraction.Fraction#?#Fraction#?,double,double,int,int
math	27	org.apache.commons.math3.fraction.Fraction#double#percentageValue#?
math	28	org.apache.commons.math3.optimization.linear.SimplexSolver#Integer#getPivotRow#?,SimplexTableau,int
math	29	org.apache.commons.math3.linear.OpenMapRealVector#OpenMapRealVector#ebeDivide#?,RealVector
math	29	org.apache.commons.math3.linear.OpenMapRealVector#OpenMapRealVector#ebeMultiply#?,RealVector
math	30	org.apache.commons.math3.stat.inference.MannWhitneyUTest#double#calculateAsymptoticPValue#?,double,int,int
math	31	org.apache.commons.math3.util.ContinuedFraction#double#evaluate#?,double,double,int
math	32	org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet#void#computeGeometricalProperties#?
math	33	org.apache.commons.math3.optimization.linear.SimplexTableau#void#dropPhase1Objective#?
math	34	org.apache.commons.math3.genetics.ListPopulation#Iterator<Chromosome>#iterator#?
math	35	org.apache.commons.math3.genetics.ElitisticListPopulation#?#ElitisticListPopulation#?,List<Chromosome>,int,double
math	35	org.apache.commons.math3.genetics.ElitisticListPopulation#?#ElitisticListPopulation#?,int,double
math	36	org.apache.commons.math.fraction.BigFraction#float#floatValue#?
math	36	org.apache.commons.math.fraction.BigFraction#double#doubleValue#?
math	37	org.apache.commons.math.complex.Complex#Complex#tan#?
math	37	org.apache.commons.math.complex.Complex#Complex#tanh#?
math	38	org.apache.commons.math.optimization.direct.BOBYQAOptimizer#void#prelim#?,double[],double[]
math	39	org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#void#integrate#?,ExpandableStatefulODE,double
math	40	org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#double#doSolve#?
math	41	org.apache.commons.math.stat.descriptive.moment.Variance#double#evaluate#?,double[],double[],double,int,int
math	42	org.apache.commons.math.optimization.linear.SimplexTableau#RealPointValuePair#getSolution#?
math	43	org.apache.commons.math.stat.descriptive.SummaryStatistics#void#addValue#?,double
math	44	org.apache.commons.math.ode.AbstractIntegrator#double#acceptStep#?,AbstractStepInterpolator,double[],double[],double
math	45	org.apache.commons.math.linear.OpenMapRealMatrix#?#OpenMapRealMatrix#?,int,int
math	46	org.apache.commons.math.complex.Complex#Complex#divide#?,Complex
math	47	org.apache.commons.math.complex.Complex#Complex#divide#?,Complex
math	47	org.apache.commons.math.complex.Complex#?#Complex#?,double,double
math	48	org.apache.commons.math.analysis.solvers.BaseSecantSolver#double#doSolve#?
math	49	org.apache.commons.math.linear.OpenMapRealVector#OpenMapRealVector#ebeMultiply#?,RealVector
math	50	org.apache.commons.math.analysis.solvers.BaseSecantSolver#double#doSolve#?
math	51	org.apache.commons.math.analysis.solvers.BaseSecantSolver#double#doSolve#?
math	52	org.apache.commons.math.geometry.euclidean.threed.Rotation#?#Rotation#?,Vector3D,Vector3D,Vector3D,Vector3D
math	53	org.apache.commons.math.complex.Complex#Complex#add#?,Complex
math	55	org.apache.commons.math.geometry.Vector3D#Vector3D#crossProduct#?,Vector3D,Vector3D
math	56	org.apache.commons.math.util.MultidimensionalCounter#int[]#getCounts#?,int
math	57	org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer#List<Cluster<T>>#chooseInitialCenters#?,Collection<T>,int,Random
math	58	org.apache.commons.math.optimization.fitting.GaussianFitter#double[]#fit#?
math	59	org.apache.commons.math.util.FastMath#float#max#?,float,float
math	60	org.apache.commons.math.distribution.NormalDistributionImpl#double#cumulativeProbability#?,double
math	61	org.apache.commons.math.distribution.PoissonDistributionImpl#?#PoissonDistributionImpl#?,double,double,int
math	63	org.apache.commons.math.util.MathUtils#boolean#equals#?,double,double
math	64	org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#VectorialPointValuePair#doOptimize#?
math	65	org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer#double#getChiSquare#?
math	65	org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer#double#getRMS#?
math	68	org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#VectorialPointValuePair#doOptimize#?
math	68	org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?
math	69	org.apache.commons.math.stat.correlation.PearsonsCorrelation#RealMatrix#getCorrelationPValues#?
math	70	org.apache.commons.math.analysis.solvers.BisectionSolver#double#solve#?,UnivariateRealFunction,double,double,double
math	71	org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#double#integrate#?,FirstOrderDifferentialEquations,double,double[],double,double[]
math	71	org.apache.commons.math.ode.nonstiff.RungeKuttaIntegrator#double#integrate#?,FirstOrderDifferentialEquations,double,double[],double,double[]
math	72	org.apache.commons.math.analysis.solvers.BrentSolver#double#solve#?,UnivariateRealFunction,double,double,double
math	73	org.apache.commons.math.analysis.solvers.BrentSolver#double#solve#?,UnivariateRealFunction,double,double,double
math	74	org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#double#integrate#?,FirstOrderDifferentialEquations,double,double[],double,double[]
math	75	org.apache.commons.math.stat.Frequency#double#getPct#?,Object
math	76	org.apache.commons.math.linear.SingularValueDecompositionImpl#RealMatrix#getU#?
math	76	org.apache.commons.math.linear.SingularValueDecompositionImpl#RealMatrix#getV#?
math	78	org.apache.commons.math.ode.events.EventState#boolean#evaluateStep#?,StepInterpolator
math	79	org.apache.commons.math.util.MathUtils#double#distance#?,int[],int[]
math	80	org.apache.commons.math.linear.EigenDecompositionImpl#boolean#flipIfWarranted#?,int,int
math	81	org.apache.commons.math.linear.EigenDecompositionImpl#void#computeShiftIncrement#?,int,int,int
math	81	org.apache.commons.math.linear.EigenDecompositionImpl#void#computeGershgorinCircles#?
math	81	org.apache.commons.math.linear.EigenDecompositionImpl#void#processGeneralBlock#?,int
math	82	org.apache.commons.math.optimization.linear.SimplexSolver#Integer#getPivotRow#?,int,SimplexTableau
math	83	org.apache.commons.math.optimization.linear.SimplexTableau#RealPointValuePair#getSolution#?
math	83	org.apache.commons.math.optimization.linear.SimplexTableau#Integer#getBasicRow#?,int,boolean
math	84	org.apache.commons.math.optimization.direct.MultiDirectional#void#iterateSimplex#?,Comparator<RealPointValuePair>
math	85	org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils#double[]#bracket#?,UnivariateRealFunction,double,double,double,int
math	86	org.apache.commons.math.linear.CholeskyDecompositionImpl#?#CholeskyDecompositionImpl#?,RealMatrix,double,double
math	87	org.apache.commons.math.optimization.linear.SimplexTableau#Integer#getBasicRow#?,int
math	88	org.apache.commons.math.optimization.linear.SimplexTableau#RealPointValuePair#getSolution#?
math	89	org.apache.commons.math.stat.Frequency#void#addValue#?,Object
math	90	org.apache.commons.math.stat.Frequency#void#addValue#?,Object
math	91	org.apache.commons.math.fraction.Fraction#int#compareTo#?,Fraction
math	92	org.apache.commons.math.util.MathUtils#long#binomialCoefficient#?,int,int
math	92	org.apache.commons.math.util.MathUtils#double#binomialCoefficientDouble#?,int,int
math	92	org.apache.commons.math.util.MathUtils#double#binomialCoefficientLog#?,int,int
math	93	org.apache.commons.math.util.MathUtils#long#factorial#?,int
math	93	org.apache.commons.math.util.MathUtils#double#factorialLog#?,int
math	93	org.apache.commons.math.util.MathUtils#double#factorialDouble#?,int
math	94	org.apache.commons.math.util.MathUtils#int#gcd#?,int,int
math	95	org.apache.commons.math.distribution.FDistributionImpl#double#getInitialDomain#?,double
math	96	org.apache.commons.math.complex.Complex#boolean#equals#?,Object
math	97	org.apache.commons.math.analysis.BrentSolver#double#solve#?,double,double
math	98	org.apache.commons.math.linear.RealMatrixImpl#double[]#operate#?,double[]
math	98	org.apache.commons.math.linear.BigMatrixImpl#BigDecimal[]#operate#?,BigDecimal[]
math	99	org.apache.commons.math.util.MathUtils#int#lcm#?,int,int
math	99	org.apache.commons.math.util.MathUtils#int#gcd#?,int,int
math	100	org.apache.commons.math.estimation.AbstractEstimator#double[][]#getCovariances#?,EstimationProblem
math	101	org.apache.commons.math.complex.ComplexFormat#Complex#parse#?,String,ParsePosition
math	102	org.apache.commons.math.stat.inference.ChiSquareTestImpl#double#chiSquare#?,double[],long[]
math	103	org.apache.commons.math.distribution.NormalDistributionImpl#double#cumulativeProbability#?,double
math	105	org.apache.commons.math.stat.regression.SimpleRegression#double#getSumSquaredErrors#?
math	106	org.apache.commons.math.fraction.ProperFractionFormat#Fraction#parse#?,String,ParsePosition
chart	1	org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#LegendItemCollection#getLegendItems#?
chart	2	org.jfree.data.general.DatasetUtilities#Range#iterateDomainBounds#?,XYDataset,boolean
chart	2	org.jfree.data.general.DatasetUtilities#Range#iterateRangeBounds#?,XYDataset,boolean
chart	3	org.jfree.data.time.TimeSeries#TimeSeries#createCopy#?,int,int
chart	4	org.jfree.chart.plot.XYPlot#Range#getDataRange#?,ValueAxis
chart	5	org.jfree.data.xy.XYSeries#XYDataItem#addOrUpdate#?,Number,Number
chart	6	org.jfree.chart.util.ShapeList#boolean#equals#?,Object
chart	7	org.jfree.data.time.TimePeriodValues#void#updateBounds#?,TimePeriod,int
chart	8	org.jfree.data.time.Week#?#Week#?,Date,TimeZone
chart	9	org.jfree.data.time.TimeSeries#TimeSeries#createCopy#?,RegularTimePeriod,RegularTimePeriod
chart	10	org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#String#generateToolTipFragment#?,String
chart	11	org.jfree.chart.util.ShapeUtilities#boolean#equal#?,GeneralPath,GeneralPath
chart	12	org.jfree.chart.plot.MultiplePiePlot#?#MultiplePiePlot#?,CategoryDataset
chart	13	org.jfree.chart.block.BorderArrangement#Size2D#arrangeFF#?,BlockContainer,Graphics2D,RectangleConstraint
chart	14	org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean
chart	14	org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean
chart	14	org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean
chart	14	org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean
chart	15	org.jfree.chart.plot.PiePlot#PiePlotState#initialise#?,Graphics2D,Rectangle2D,PiePlot,Integer,PlotRenderingInfo
chart	16	org.jfree.data.category.DefaultIntervalCategoryDataset#?#DefaultIntervalCategoryDataset#?,Comparable[],Comparable[],Number[][],Number[][]
chart	16	org.jfree.data.category.DefaultIntervalCategoryDataset#void#setCategoryKeys#?,Comparable[]
chart	17	org.jfree.data.time.TimeSeries#Object#clone#?
chart	18	org.jfree.data.DefaultKeyedValues#void#removeValue#?,Comparable
chart	18	org.jfree.data.DefaultKeyedValues#void#removeValue#?,int
